temp,hum,pres,alt,ax,ay,az,gx,gy,gz,t
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,72,56,16348,-1,-11,-19,1275055
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,12,4,16252,-2,-15,20,1275067
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,-68,112,16456,7,30,-7,1275080
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,96,-20,16432,-7,29,-10,1275092
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,76,-20,16272,-3,7,-3,1275105
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,48,-40,16380,-3,-3,-14,1275118
26.709999084472656,43.58203125,1026.4246826171875,19.372732162475586,-20,92,16420,-9,27,21,1275130
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,76,-60,16344,14,1,-9,1275143
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,80,12,16416,8,1,16,1275156
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,-44,4,16348,-7,-11,4,1275169
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,24,-12,16312,-16,-3,7,1275181
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,8,20,16340,-8,-15,-14,1275194
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,72,-28,16356,8,-15,21,1275207
26.709999084472656,43.626953125,1026.4345703125,19.2916259765625,20,-24,16484,0,19,3,1275219
26.709999084472656,43.626953125,1026.4345703125,19.19137954711914,32,-60,16372,-1,26,15,1275232
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,20,0,16316,5,-29,-5,1275245
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,128,-76,16240,-12,6,16,1275257
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,-20,-16,16492,-18,1,-16,1275270
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,88,4,16360,6,3,5,1275283
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,12,36,16468,9,3,5,1275295
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,92,-124,16356,0,12,9,1275308
26.709999084472656,43.5703125,1026.44677734375,19.19137954711914,72,24,16316,15,-4,26,1275321
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,28,-32,16472,10,24,0,1275333
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,116,4,16436,-9,17,-5,1275346
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,136,56,16496,-8,-18,10,1275359
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,8,48,16364,-6,13,7,1275371
26.709999084472656,43.5703125,1026.4378662109375,19.264423370361328,28,-116,16512,11,-3,-24,1275384
